,market,rank,name,artists,artists_followers,id,album,release_date,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,end_of_fade_in,start_of_fade_out,sections_number,segments_number
1022,SK,23,Santé,['Calin'],[332517],4ToxkJ4VvWs026R3QfHDI3,Santé,2022-09-30,62,0.4,0.604,114000,0.649,0.273,0.186,-8.458,0.0524,120.111,0.273,0.0,111.15392,6,491
1023,SK,24,Stíny,['Viktor Sheen'],[435623],0J3SIAOndpL1MS2Vq2RMQ9,Příběhy a sny,2021-11-17,63,0.0756,0.533,172541,0.784,0.0,0.126,-6.578,0.164,92.42,0.564,0.0,168.46077,8,819
1024,SK,25,Benz,"['Calin', 'Viktor Sheen']","[332517, 435623]",1iOXr3xZSuF62boF7ygB6L,ROADTRIP,2023-02-03,63,0.309,0.762,124615,0.742,8.24e-06,0.223,-6.984,0.205,104.063,0.789,0.0,119.00807,5,553
1025,SK,26,Hej,['Separ'],[231974],635RTDI2CLBirWFSF3HhEC,FLOWDEMORT,2023-03-31,56,0.334,0.717,175032,0.698,0.0,0.182,-5.258,0.0954,156.782,0.508,0.0,170.66086,10,735
1026,SK,27,Uuuu,"['Separ', 'SMART', 'Snoop Dogg']","[231974, 1747, 9660533]",3OrNfhm56VJ9iSV1flohNj,FLOWDEMORT,2023-03-31,58,0.472,0.746,193199,0.806,0.0,0.128,-7.351,0.36,105.96,0.388,0.43492,187.9307,7,842
1027,SK,28,Another Love,['Tom Odell'],[3110691],7jtQIBanIiJOMS6RyCx6jZ,Long Way Down,2013-06-17,63,0.717,0.442,244360,0.538,2.95e-05,0.09,-8.55,0.0451,122.758,0.139,0.27991,229.41315,8,742
1028,SK,29,Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']","[4248660, 64515116, 13621908]",2dHHgzDwk4BJdRwy9uXhTO,HEROES & VILLAINS,2022-12-02,96,0.417,0.715,221520,0.62,0.0,0.0822,-6.005,0.0484,97.95,0.172,0.0,213.32172,11,903
1029,SK,30,Môj typ ženy,['SIMILIVINLIFE'],[13802],0OsN3na3JJI2502qObTqsG,Môj typ ženy,2022-10-21,53,0.764,0.765,156803,0.409,0.451,0.105,-8.7,0.227,94.899,0.572,0.15147,139.20363,5,687
1030,SK,31,Stále,['Separ'],[231974],0bSJ5d1IlTBiDYSdRJK40T,FLOWDEMORT,2023-03-31,55,0.208,0.844,132680,0.777,0.00194,0.11,-6.619,0.0791,97.059,0.402,0.0,127.24535,4,734
1031,SK,32,Hejtklub 10,['Separ'],[231974],7Jmh4aI9g2jIh1infmeoNc,FLOWDEMORT,2023-03-31,55,0.0579,0.779,172357,0.598,0.0,0.311,-6.735,0.224,156.937,0.339,0.0,166.02847,5,779
1032,SK,33,I Ain't Worried,['OneRepublic'],[15528017],4fYte8ZvTK14NEhAOZocBi,OneRepublic (Japan Paradise Tour Edition),2023-02-15,55,0.0988,0.697,148120,0.802,3.55e-05,0.0614,-6.412,0.0456,139.951,0.822,0.11034,145.13052,7,588
1033,SK,34,Mockingbird,['Eminem'],[70326856],561jH07mF1jHuk7KlaeF0s,Encore (Deluxe Version),2004-11-12,92,0.209,0.637,250760,0.678,0.0,0.156,-3.798,0.266,84.039,0.254,0.18889,247.65823,13,1170
1034,SK,35,Nezhasnu,"['Hard Rico', 'Yzomandias', 'Nik Tendo']","[37043, 368850, 314724]",592mMetMyxrHCM9jJaNZjX,Secret Eyes,2023-04-28,58,0.0451,0.667,160541,0.594,0.0,0.0727,-7.064,0.209,73.975,0.36,0.0,155.06287,6,720
1035,SK,36,Rozdělený světy,['Viktor Sheen'],[435623],65sTVVVMDnczku5Gt2PTmt,Barvy,2020-10-17,61,0.331,0.712,211892,0.66,5.66e-05,0.0904,-7.68,0.032,111.068,0.418,0.0,206.199,8,860
1036,SK,37,STARGAZING,"['EGO', 'Majk Spirit', 'Ben Cristovao']","[25, 132141, 343902]",4nMUKRsyvffuyQNqnbXKRk,PLAYLIST,2023-05-05,47,0.179,0.766,207482,0.481,0.0,0.295,-12.606,0.133,140.052,0.451,0.0,202.2226,9,895
1037,SK,38,International,"['Separ', 'Matej Straka', 'Fleego']","[231974, 1256, 440]",4NeUCjj8g0vSlGjC4BXA8q,FLOWDEMORT,2023-03-31,54,0.288,0.656,149404,0.747,0.0,0.138,-5.103,0.272,150.164,0.54,0.0,139.65642,7,649
1038,SK,39,Slzy,"['Sofian Medjmedj', 'Ben Cristovao']","[22659, 343902]",3zvg1jGv8J5laammbEvkzf,Slzy,2023-04-21,60,0.538,0.654,149951,0.588,0.0,0.132,-7.772,0.141,135.916,0.499,2.01433,145.41496,9,552
